cycle,temperature,driving_pattern,charging_pattern,DoD,trip_length_km,SoH,FCR
0,21.84653837161212,1,1,67.76551833879027,55.279160478952015,100.0,477.4512788203452
1,35.70154389918281,2,1,80.00349808289769,75.28720159310859,99.9961153835149,498.50313978490925
2,33.32839540256948,1,1,94.42630458990605,17.669804284626238,99.99409824590529,504.5749231316146
3,28.654677170507888,1,0,63.50141948934528,72.72149261191038,99.99154876604894,499.3894719471183
4,23.28462034629301,0,0,55.91023818691354,45.800579812996176,99.99044268304219,493.9171252553848
5,31.003148304898616,0,0,56.5381994305496,21.88093582304756,99.98787565633691,517.1587948919101
6,19.332701804747707,0,0,74.74265051716739,44.65737411558566,99.98638550550625,484.15655720128177
7,30.382876576221296,2,1,86.60681305649214,75.80162314087268,99.98298627872605,486.403140705178
8,29.63986768710022,1,1,82.86288710432032,40.3533003306229,99.98072642555766,497.7925765939561
9,24.243271326753597,1,0,72.6944750242341,55.98679431277537,99.97880564296376,488.29217496942067
10,30.69593156675386,0,0,86.46490200906815,17.736280361024328,99.9771610883993,513.0098666420146
11,22.76389435268075,2,0,81.69849780705086,13.486674665768227,99.97438014492384,474.5207426303702
12,18.674572009508832,2,2,81.41153778004238,28.46521960633335,99.97083494150246,455.3905845841409
13,29.889825064999606,0,1,60.11881986471025,70.25616019340971,99.96809975595592,508.26239822842183
14,24.573785354302704,0,2,65.6291716513141,48.98337364430452,99.9652936124043,485.62385519453215
15,28.00890301649334,0,2,67.22121626446051,71.99392423760928,99.96254566792477,496.8620636948834
16,34.10443295779703,1,1,90.40953791419477,73.16227317075321,99.96072359470243,506.25032995802377
17,21.388729638018518,1,1,88.75552454826806,34.83696910502498,99.95835799957943,476.62353550376497
18,24.283102475800124,1,0,62.63363787074522,81.34002032685471,99.95544441673532,487.8681807760253
19,32.84817252288857,0,1,52.75761371549899,39.11240821303626,99.95338157736589,514.3098963881062
20,28.343658654276418,1,0,88.38919046032277,70.00724435350968,99.95119941836921,499.225041045093
21,21.50108627897702,0,2,70.49330893971592,69.1898300477092,99.94845644146471,481.90432092330195
22,20.22491148230261,0,0,60.99015844951421,51.300690308279854,99.94643621586333,486.43551834268806
23,22.35959679948327,1,2,55.850843528554776,51.33325419471993,99.94440370753652,470.8770746987649
24,21.30792647598561,1,0,50.64073252942505,56.40921387937193,99.94207910983602,481.0093059305933
25,26.186740597447653,2,2,71.38648174069431,52.30874728879108,99.9382421570998,473.12448477058206
26,25.392172535988,0,1,66.98819071934128,42.19725943010957,99.93570132096012,492.8838729322271
27,26.396188771376757,1,1,84.82350753536414,40.48197907006676,99.9327903090583,488.3863355950223
28,20.795935992201088,1,1,98.83327160937041,42.357183844498806,99.93019288534157,475.5257619462919
29,24.645830462373723,0,1,60.339130980807695,74.36432822430734,99.9275870948751,492.90219033475574
30,14.721501130218916,1,1,62.15180701869687,18.23319907430808,99.92534050218904,458.37246437813786
31,25.725031586806832,0,2,66.86512884321982,40.06316490336343,99.92308047299615,490.9762081670662
32,30.877203224779326,0,0,73.29688174416526,43.48118398333587,99.92148341213128,514.7220449028049
33,17.8762704532691,2,2,84.88493476702678,45.43803528287877,99.91715966554631,455.47802623778455
34,27.417141153237306,2,1,67.60157609193033,55.93550037835782,99.91320358706669,478.19784385064185
35,21.944928241197182,2,2,55.210027148538956,23.035010835510366,99.90989146572842,463.24102071942133
36,29.012505768466845,1,1,86.51708186238703,70.50632126035522,99.90712806862962,493.55977952490286
37,25.793237256061396,0,1,89.73208390089266,67.7390761670905,99.90500774268739,497.28197927309515
38,27.023520563302203,1,2,62.38243277939571,63.48667888553045,99.90152880020815,482.9093909113346
39,25.324119493777204,1,1,56.837812187115325,45.848828228184836,99.89876116322903,487.3743714007548
40,31.641659031921762,0,1,76.39005257328752,35.23295990684223,99.89690778002792,511.7694239684829
41,26.73705238847551,1,0,60.415715043567324,43.49596815594086,99.89545727999791,494.92017988448214
42,21.472881429987744,0,0,68.70817166743143,51.217302186367455,99.89379725015365,492.99802225539764
43,25.493575261605017,2,1,88.86806100644253,63.32371532300168,99.89025847514304,475.4519837129533
44,23.155594785169754,0,1,60.98035215922944,48.37377589284093,99.88887571216388,486.5991628398586
45,25.811999532597945,1,1,90.31296305593555,57.2090522680625,99.88593677366902,487.69831473560015
46,22.901151438165936,1,0,83.70099939081553,41.32182478175264,99.88376133715613,485.0649568053347
