cycle,temperature,driving_pattern,charging_pattern,DoD,trip_length_km,SoH,FCR
0,20.980984099514572,1,1,66.17919066180764,64.21938813221465,100.0,475.3518769333726
1,27.92995884489391,2,1,57.44041515955396,51.88812013903405,99.99417580611839,482.1335001900971
2,31.531402378641015,1,0,83.22768319782033,83.21494036317394,99.98934350699753,505.94801376678663
3,18.865421618523797,1,1,62.259321460776434,75.17236858125003,99.98455116413865,470.147936530118
4,33.561538641834616,0,1,72.81579546421024,80.9571213758402,99.98031259340114,516.0881837521905
5,24.35724482807435,0,2,74.58113653058243,63.91000960894461,99.97551404125018,488.30565422358535
6,20.12489307530743,0,0,73.85997752341942,52.455917025021634,99.97203640387431,487.67582284566794
7,28.788773901040916,2,1,79.92245718399779,42.01670257970402,99.9659724884211,484.03736485411497
8,22.76772760872476,1,2,51.47268544629294,24.621523150682563,99.96051994404388,474.6528467668833
9,24.59131661984253,1,2,99.4841247465044,60.0409123093269,99.95423640758796,478.9994434881787
10,22.978608778939606,0,2,85.81552369692857,61.70714669591209,99.9493733828678,484.8020283213401
11,20.9163103406755,2,1,71.26938908993813,43.004373361853524,99.94363892047478,465.2347941486468
12,28.61998516200952,2,2,59.56650151451221,62.27362056233267,99.93652187637835,478.61019934989065
13,23.568492985529065,0,1,54.00886612216782,43.356443368017125,99.9327819598494,491.1266723620642
14,17.81674103910377,0,1,83.60952103130609,67.34855382693922,99.92883040118598,476.8817974916984
15,27.755300621079662,0,0,65.84778074792791,32.35785413714562,99.92534666978902,506.50984259246684
16,18.972088244881224,1,0,61.4739229124934,28.89776929982596,99.92123269274298,474.8572890526442
17,19.233699136623706,1,0,68.99771935561667,45.18842545562705,99.91697916524271,475.4774895106403
18,30.963031024886583,1,0,79.6461543903855,66.57570791004574,99.91227151634736,504.16673981316444
19,19.01830050394894,0,0,83.58526083420006,26.824290706819532,99.90883566268775,484.60356251507505
20,13.417775715362549,1,0,82.25850346772651,70.99374038018391,99.90448771045565,461.1826432804773
21,28.11430742480748,0,0,93.16327917459867,17.14823731229575,99.90085867147303,507.2823430049955
22,23.48068285259435,0,2,60.93787155350576,45.065082488114186,99.89629935281667,485.77339989485864
23,23.911724394309417,1,0,81.83730815985678,21.738477457947184,99.89193434283911,486.807084373823
24,23.427498033249,1,1,55.05571880930471,-2.197987283664638,99.8874671568145,480.744291776486
25,26.158349695093634,2,0,77.39673449495889,57.329036095505074,99.88202456071423,482.21047739611396
26,21.23640379048466,0,2,79.19792012448356,46.44377782737771,99.87733916387073,480.18946151317283
27,32.380574372828825,1,2,60.81186494670868,22.058021343390223,99.87152366885395,497.2810487458954
28,17.61884759845301,1,1,69.58465649956185,39.66772284030441,99.86685722559379,466.57497578253333
29,27.224374583385615,0,1,91.35964447919012,58.836504538586276,99.86268429912236,499.81805469605047
30,28.210605019382918,1,0,57.42045268764817,42.63700666021661,99.85835068373076,497.1607585376267
31,21.20174119583311,0,2,71.72530988079201,46.02637768863203,99.85373817185602,479.99119370865895
32,19.88132777361091,0,2,96.6366535605726,42.030868593539,99.84894390870735,476.7380217601814
33,30.085871070850782,2,2,75.20544638498005,38.35395737140081,99.84171677389237,481.59847067297363
34,20.045696229916423,2,1,86.25668559166435,38.09325450513845,99.83586272522996,462.6679152100145
